Hour,Minute,End Hour,End Minute,Display Date,Headline,Text,Picture Link,Video Link,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
0,0,0,1,M:s,0-1111,Step 0:prepare therapy:Set up device:::insufficient prime /  over prime,http://upload.wikimedia.org/wikipedia/commons/a/a3/Leo_XIII.jpg,https://www.w3schools.com/html/mov_bbb.mp4,Media,"<a href=""http://es.wikipedia.org/wiki/Papa_León_XIII "" target=""_blank"">Ver más</a>","<a href=""http://es.wikipedia.org/wiki/Papa_León_XIII "" target=""_blank"">Ver más</a>","<a href=""http://es.wikipedia.org/wiki/Papa_León_XIII "" target=""_blank"">Ver más</a>",Title,prepare therapy,yellow
0,1,0,2,M:s,0-2,Step 0:prepare therapy:gather supplies:Open HC Disposable Pouch::Delay of therapy/customer inconvenience,,,Media,Media Credit,Media Caption,Media Thumbnail,Title,prepare therapy,#333333
0,2,0,3,M:s,0-3,Step 0:prepare therapy:gather supplies:Open HC Disposable Pouch::Delay of therapy/customer inconvenience,,,Media,Media Credit,Media Caption,Media Thumbnail,Title,prepare therapy,#333333
0,3,0,4,M:s,0-4,Step 0:prepare therapy:gather supplies:Open HC Disposable Pouch::Air introduced,,,Media,Media Credit,Media Caption,Media Thumbnail,Title,prepare therapy,#333333
0,4,0,5,M:s,0-5,Step 0:prepare therapy:gather supplies:Open HC Disposable Pouch::Air introduced,http://upload.wikimedia.org/wikipedia/commons/a/a3/Leo_XIII.jpg,https://www.w3schools.com/html/mov_bbb.mp4,Media,Media Credit,Media Caption,Media Thumbnail,Title,prepare therapy,LightBlue
0,5,0,6,M:s,0-6,Step 0:prepare therapy:gather supplies:Open HC Disposable Pouch::Air introduced,,,Media,Media Credit,Media Caption,Media Thumbnail,Title,prepare therapy,
0,6,0,7,M:s,0-7,Step 0:prepare therapy:gather supplies:Open HC Disposable Pouch::contamination/PM,,,Media,Media Credit,Media Caption,Media Thumbnail,Title,prepare therapy,
0,7,0,8,M:s,0-8,Step 0:prepare therapy:gather supplies:Open Carton::contamination/PM,,,Media,Media Credit,Media Caption,Media Thumbnail,Title,prepare therapy,
0,8,0,9,M:s,0-9,Step 0:prepare therapy:gather supplies:Open Carton::contamination/PM,,,Media,Media Credit,Media Caption,Media Thumbnail,Title,prepare therapy,
0,9,0,10,M:s,0-10,Step 0:prepare therapy:gather supplies:Open Carton::biohazard to caregiver,,,Media,Media Credit,Media Caption,Media Thumbnail,Title,prepare therapy,
0,10,0,11,M:s,0-11,Step 0:prepare therapy:gather supplies:Open Carton::breach in sterility,,,Media,Media Credit,Media Caption,Media Thumbnail,Title,prepare therapy,
0,11,0,12,M:s,0-12,Step 0:prepare therapy:gather supplies:Open Carton::,,,Media,Media Credit,Media Caption,Media Thumbnail,Title,prepare therapy,
0,12,0,13,M:s,0-13,Step 0:prepare therapy:gather supplies:Open Carton::Patient cuts themselves,,,,,,,Title,prepare therapy,
0,13,0,14,M:s,0-14,Step 0:prepare therapy:gather supplies:Open Carton::delay of therapy/patient inconvenience,,,,,,,Title,prepare therapy,
0,14,0,15,M:s,0-15,Step 0:prepare therapy:gather supplies:Open Carton::damaged product,,,,,,,Title,prepare therapy,
0,15,0,16,M:s,0-16,Step 0:prepare therapy:gather supplies:Open pouch with red clamp::delay of therapy/patient inconvenience/ can't perform therapy,,,,,,,Title,prepare therapy,
0,16,0,17,M:s,0-17,Step 0:prepare therapy:gather supplies:Open pouch with red clamp::biohazard to caregiver/breach in sterility,,,,,,,Title,prepare therapy,
0,17,0,18,M:s,0-18,Step 0:prepare therapy:check solution bags:Wipe bag::,,,,,,,Title,prepare therapy,
0,18,0,19,M:s,0-19,Step 0:prepare therapy:place  bag on heater:Place bag on heater tray:: electric shock,,,,,,,Title,prepare therapy,
0,19,0,20,M:s,0-20,Step 0:prepare therapy:place  bag on heater:Place bag on heater tray::insufficient therapy,,,,,,,Title,prepare therapy,
0,20,0,21,M:s,1-1,Step 1:Turn On Home Choice machine:Blood Pressure- Check with MD:::Patient overload?,,,,,,,Title,Turn On Home Choice machine,
0,21,0,22,M:s,1-2,Step 1:Turn On Home Choice machine:Insert Power cord:::Electric shock,,,,,,,Title,Turn On Home Choice machine,
0,22,0,23,M:s,1-3,Step 1:Turn On Home Choice machine:Insert Power cord:::Electric shock,,,,,,,Title,Turn On Home Choice machine,
0,23,0,24,M:s,1-4,Step 1:Turn On Home Choice machine:Insert Power cord:::No Power,,,,,,,Title,Turn On Home Choice machine,
0,24,0,25,M:s,1-5,Step 1:Turn On Home Choice machine:turn On:turn on machine::no power,,,,,,,Title,Turn On Home Choice machine,
0,25,0,26,M:s,1-6,Step 1:Turn On Home Choice machine:turn On:turn on machine::electric shock,,,,,,,Title,Turn On Home Choice machine,
0,26,0,27,M:s,1-7,Step 1:Turn On Home Choice machine:All system power on self test ( all character pixel on /off test:::no power,,,,,,,Title,Turn On Home Choice machine,
0,27,0,28,M:s,1-8,Step 1:Turn On Home Choice machine:prompts:::patient inconvenience/ delayed Therapy,,,,,,,Title,Turn On Home Choice machine,
0,28,0,29,M:s,1-9,Step 1:Turn On Home Choice machine:Operating Mode:::,,,,,,,Title,Turn On Home Choice machine,
0,29,0,30,M:s,1-10,Step 1:Turn On Home Choice machine:Begin Setup:::,,,,,,,Title,Turn On Home Choice machine,
0,30,0,31,M:s,1-11,Step 1:Turn On Home Choice machine:(Optional Review of program):::,,,,,,,Title,Turn On Home Choice machine,
0,31,0,32,M:s,2-1,Step 2:Load Disposable set:Prepare Disposable:Inspect lines and clamps::,,,,,,,Title,Load Disposable set,
0,32,0,33,M:s,2-2,Step 2:Load Disposable set:Prepare Disposable:Inspect lines and clamps:check lines:breach in sterility,,,,,,,Title,Load Disposable set,
0,33,0,34,M:s,2-3,Step 2:Load Disposable set:Prepare Disposable:Inspect lines and clamps:Inspect set:patient inconvenience / delay in therapy,,,,,,,Title,Load Disposable set,
0,34,0,35,M:s,2-4,Step 2:Load Disposable set:Prepare Disposable:Inspect lines and clamps:make sure frangible is intact:patient inconvenience / delay in therapy,,,,,,,Title,Load Disposable set,
0,35,0,36,M:s,2-5,Step 2:Load Disposable set:Prepare Disposable:Inspect lines and clamps::patient inconvenience / delay in therapy,,,,,,,Title,Load Disposable set,
0,36,0,37,M:s,2-6,Step 2:Load Disposable set:Prepare Disposable:Inspect lines and clamps::breach in sterility,,,,,,,Title,Load Disposable set,
0,37,0,38,M:s,2-7,Step 2:Load Disposable set:Prepare Disposable:Inspect lines and clamps::breach in sterility,,,,,,,Title,Load Disposable set,
0,38,0,39,M:s,2-8,Step 2:Load Disposable set:Prepare Disposable:Inspect lines and clamps::breach in sterility,,,,,,,Title,Load Disposable set,
0,39,0,40,M:s,2-9,Step 2:Load Disposable set:Prepare Disposable:Inspect lines and clamps::breach in sterility,,,,,,,Title,Load Disposable set,
0,40,0,41,M:s,2-10,Step 2:Load Disposable set:Prepare Disposable:Inspect lines and clamps::damage to peritoneum,,,,,,,Title,Load Disposable set,
0,41,0,42,M:s,2-11,Step 2:Load Disposable set:Prepare Disposable:Inspect lines and clamps::breach in sterility,,,,,,,Title,Load Disposable set,
0,42,0,43,M:s,2-12,Step 2:Load Disposable set:Prepare Disposable:Inspect lines and clamps::breach in sterility,,,,,,,Title,Load Disposable set,
0,43,0,44,M:s,2-13,Step 2:Load Disposable set:Prepare Disposable:closes solution line clamps::,,,,,,,Title,Load Disposable set,
0,44,0,45,M:s,2-14,Step 2:Load Disposable set:Prepare Disposable:::,,,,,,,Title,Load Disposable set,
0,45,0,46,M:s,2-15,Step 2:Load Disposable set:Prepare Disposable:Prepare Drain Option::patient inconvenience / delay in therapy,,,,,,,Title,Load Disposable set,
0,46,0,47,M:s,2-16,Step 2:Load Disposable set:Prepare Disposable:Prepare Drain Option::breach in sterility,,,,,,,Title,Load Disposable set,
0,47,0,48,M:s,2-17,Step 2:Load Disposable set:Prepare Disposable:Prepare Drain Option::injury to patient,,,,,,,Title,Load Disposable set,
0,48,0,49,M:s,2-18,Step 2:Load Disposable set:Prepare Disposable:Prepare Drain Option::patient inconvenience / delay in therapy,,,,,,,Title,Load Disposable set,
0,49,0,50,M:s,2-19,Step 2:Load Disposable set:Prepare Disposable:Prepare Drain Option::micro organisms introduced / breach in sterility,,,,,,,Title,Load Disposable set,
0,50,0,51,M:s,2-20,Step 2:Load Disposable set:Prepare Disposable:Prepare Drain Option::micro organisms introduced,,,,,,,Title,Load Disposable set,
